"Category","air temp","ground temp"
0,0,0
1,20,20
2,20,20
3,20,20
4,20,20
5,20,20
6,20,20
7,20,20
8,20,20
9,20,20
10,20,20
11,20,20
12,20,20
13,20,20
14,20,20
15,20,20
16,20,20
17,20,20
18,20,20
19,20,20
20,20,20
21,20,20
22,20,20
23,20,20
24,20.63492063492066,20
25,20.63492063492066,20
26,21.111111111111086,20
27,21.428571428571445,20
28,21.111111111111086,20
29,21.428571428571445,20
30,21.746031746031747,20
31,21.904761904761926,20
32,21.746031746031747,20
33,22.22222222222223,20
34,22.06349206349205,20
35,22.69841269841271,20
36,22.69841269841271,20
37,22.69841269841271,20
38,22.380952380952408,20
39,22.06349206349205,20
40,22.53968253968253,20
41,23.015873015873012,20.19999999999999
42,23.17460317460319,20.19999999999999
43,23.015873015873012,20.30000000000001
44,22.22222222222223,20.399999999999977
45,22.22222222222223,20.5
46,22.380952380952408,20.5
47,22.53968253968253,20.600000000000023
48,22.857142857142833,20.69999999999999
49,22.380952380952408,21.100000000000023
50,22.69841269841271,20.899999999999977
51,23.015873015873012,21
52,23.333333333333314,21.30000000000001
53,23.650793650793673,21.399999999999977
54,23.650793650793673,21.399999999999977
55,23.968253968253975,21.399999999999977
56,23.492063492063494,21.5
57,22.857142857142833,21.600000000000023
58,22.69841269841271,21.899999999999977
59,22.53968253968253,21.80000000000001
60,23.17460317460319,21.69999999999999
61,22.857142857142833,21.69999999999999
62,23.492063492063494,22.19999999999999
63,23.650793650793673,22.30000000000001
64,23.17460317460319,22.19999999999999
65,23.492063492063494,22.19999999999999
66,23.015873015873012,22.19999999999999
67,23.333333333333314,21.899999999999977
68,23.809523809523796,22.30000000000001
69,23.809523809523796,22.100000000000023
70,23.492063492063494,22.100000000000023
71,23.333333333333314,22.30000000000001
72,23.650793650793673,22.19999999999999
73,24.126984126984098,21.69999999999999
74,24.76190476190476,21.600000000000023
75,24.60317460317458,21.600000000000023
76,24.60317460317458,21.600000000000023
77,24.60317460317458,21.69999999999999
78,24.126984126984098,21.399999999999977
79,24.60317460317458,21.600000000000023
80,25.07936507936506,21.5
81,24.76190476190476,21.80000000000001
82,24.444444444444457,22
83,24.444444444444457,22.100000000000023
84,24.285714285714278,22.399999999999977
85,23.968253968253975,22.30000000000001
86,24.126984126984098,22.399999999999977
87,23.650793650793673,22.399999999999977
88,23.809523809523796,22.600000000000023
89,23.492063492063494,22.600000000000023
90,23.650793650793673,22.69999999999999
91,24.285714285714278,22.80000000000001
92,23.650793650793673,22.600000000000023
93,23.968253968253975,22.600000000000023
94,23.968253968253975,22.399999999999977
95,23.809523809523796,22.69999999999999
96,23.333333333333314,22.80000000000001
97,23.492063492063494,22.80000000000001
98,23.650793650793673,22.899999999999977
99,23.650793650793673,22.69999999999999
100,24.126984126984098,22.899999999999977
101,24.126984126984098,23
102,23.492063492063494,23.100000000000023
103,23.809523809523796,23
104,23.17460317460319,23.100000000000023
105,23.17460317460319,23.100000000000023
106,23.015873015873012,23
107,23.650793650793673,23.19999999999999
108,23.968253968253975,23.30000000000001
109,23.809523809523796,22.899999999999977
110,23.650793650793673,22.5
111,24.126984126984098,22.5
112,24.285714285714278,22.19999999999999
113,24.92063492063494,22.30000000000001
114,24.126984126984098,22.100000000000023
115,23.809523809523796,22.19999999999999
116,23.17460317460319,22.100000000000023
117,22.69841269841271,21.69999999999999
118,22.857142857142833,21.899999999999977
119,22.69841269841271,21.5
120,22.857142857142833,21.600000000000023
121,23.333333333333314,21.80000000000001
122,24.126984126984098,21.5
123,24.126984126984098,21.600000000000023
124,24.126984126984098,21.80000000000001
125,23.650793650793673,21.5
126,23.968253968253975,21.600000000000023
127,23.333333333333314,21.600000000000023
128,23.333333333333314,21.5
129,23.809523809523796,21.399999999999977
130,23.968253968253975,21.600000000000023
131,23.968253968253975,21.5
132,23.650793650793673,21.80000000000001
133,23.17460317460319,21.399999999999977
134,23.17460317460319,21.600000000000023
135,23.17460317460319,21.80000000000001
136,23.17460317460319,21.80000000000001
137,23.333333333333314,22
138,23.650793650793673,22
139,23.650793650793673,21.899999999999977
140,23.650793650793673,21.899999999999977
141,23.968253968253975,22
142,23.968253968253975,21.899999999999977
143,24.444444444444457,22.100000000000023
144,24.285714285714278,22.19999999999999
145,24.126984126984098,22.19999999999999
146,23.968253968253975,22.19999999999999
147,23.968253968253975,22.30000000000001
148,23.650793650793673,22.19999999999999
149,23.492063492063494,22.5
150,24.60317460317458,22.100000000000023
151,24.126984126984098,21.899999999999977
152,23.492063492063494,21.899999999999977
153,23.17460317460319,22.19999999999999
154,23.333333333333314,22.30000000000001
155,23.333333333333314,22.30000000000001
156,23.809523809523796,22
157,23.492063492063494,22.19999999999999
158,23.333333333333314,22.30000000000001
159,23.809523809523796,22.5
160,23.809523809523796,22.69999999999999
161,24.60317460317458,22.600000000000023
162,23.492063492063494,22.19999999999999
163,23.333333333333314,22.30000000000001
164,23.809523809523796,22.19999999999999
165,23.17460317460319,22.100000000000023
166,23.492063492063494,22
167,23.809523809523796,21.69999999999999
168,23.968253968253975,21.69999999999999
169,23.809523809523796,22
170,24.444444444444457,21.899999999999977
171,24.444444444444457,21.80000000000001
172,23.492063492063494,21.69999999999999
173,23.333333333333314,21.69999999999999
174,24.126984126984098,21.399999999999977
175,23.968253968253975,21.399999999999977
176,23.492063492063494,21.30000000000001
177,23.650793650793673,21.30000000000001
178,24.285714285714278,21.399999999999977
179,24.60317460317458,21.600000000000023
180,24.60317460317458,21.80000000000001
181,24.92063492063494,21.69999999999999
182,24.76190476190476,21.80000000000001
