"Category","air temp","ground temp"
0,0,0
1,20,20
2,20,20
3,20,20
4,20,20
5,20,20
6,20,20
7,20,20
8,20,20
9,20,20
10,20,20
11,20,20
12,20,20
13,20,20
14,20,20
15,20,20
16,20,20
17,20,20
18,20,20
19,20,20
20,20,20
21,20,20
22,20.15873015873018,20
23,20.317460317460302,20
24,20.63492063492066,20
25,20.793650793650784,20
26,20.952380952380963,20
27,21.111111111111086,20
28,21.587301587301567,20
29,21.904761904761926,20
30,22.69841269841271,20
31,22.69841269841271,20
32,23.17460317460319,20
33,22.857142857142833,20
34,23.333333333333314,20
35,23.492063492063494,20
36,23.650793650793673,20
37,23.650793650793673,20
38,23.809523809523796,20
39,23.968253968253975,20.100000000000023
40,24.444444444444457,20.100000000000023
41,24.444444444444457,20.600000000000023
42,24.126984126984098,21
43,23.809523809523796,21.100000000000023
44,23.809523809523796,21.30000000000001
45,23.809523809523796,21.399999999999977
46,23.809523809523796,21.69999999999999
47,23.650793650793673,21.69999999999999
48,23.809523809523796,22.19999999999999
49,23.809523809523796,22.5
50,23.809523809523796,22.899999999999977
51,24.126984126984098,23.30000000000001
52,24.76190476190476,23.69999999999999
53,24.76190476190476,24.100000000000023
54,24.76190476190476,24.19999999999999
55,24.126984126984098,24.399999999999977
56,24.444444444444457,24.899999999999977
57,23.968253968253975,25
58,23.968253968253975,24.69999999999999
59,23.968253968253975,25.19999999999999
60,23.968253968253975,25.399999999999977
61,23.968253968253975,25.399999999999977
62,24.285714285714278,25.399999999999977
63,24.76190476190476,25.600000000000023
64,24.60317460317458,25.899999999999977
65,25.23809523809524,25.899999999999977
66,25.23809523809524,25.899999999999977
67,24.92063492063494,26.100000000000023
68,24.60317460317458,26
69,25.07936507936506,26.100000000000023
70,25.873015873015902,26.399999999999977
71,26.190476190476204,26.600000000000023
72,26.031746031746025,26.899999999999977
73,25.873015873015902,26.69999999999999
74,25.873015873015902,26.80000000000001
75,26.666666666666686,27.100000000000023
76,26.507936507936506,27
77,26.82539682539681,26.80000000000001
78,26.82539682539681,27.100000000000023
79,26.031746031746025,26.899999999999977
80,26.984126984126988,27
81,26.984126984126988,27.19999999999999
82,26.82539682539681,26.899999999999977
83,27.142857142857167,26.899999999999977
84,26.349206349206327,27.100000000000023
85,25.873015873015902,27.30000000000001
86,26.507936507936506,27.399999999999977
87,26.507936507936506,27.5
88,26.507936507936506,27.69999999999999
89,27.30158730158729,27.399999999999977
90,26.82539682539681,27.19999999999999
91,26.507936507936506,27.600000000000023
92,26.507936507936506,27.80000000000001
93,26.507936507936506,27.600000000000023
94,26.82539682539681,28
95,26.666666666666686,27.899999999999977
96,26.507936507936506,28
97,26.349206349206327,28.19999999999999
98,26.82539682539681,28.399999999999977
99,26.82539682539681,28.5
100,26.666666666666686,28.100000000000023
101,26.666666666666686,28.30000000000001
102,26.507936507936506,28.100000000000023
103,26.507936507936506,27.600000000000023
104,25.873015873015902,28
105,26.190476190476204,27.80000000000001
106,26.349206349206327,27.600000000000023
107,26.666666666666686,28.30000000000001
108,26.507936507936506,28.100000000000023
109,26.984126984126988,28.19999999999999
110,26.984126984126988,28.5
111,27.142857142857167,28.80000000000001
112,27.619047619047592,29
113,28.095238095238074,29.30000000000001
114,28.253968253968253,29
115,28.253968253968253,28.899999999999977
116,27.93650793650795,29.30000000000001
117,28.253968253968253,29.100000000000023
118,28.730158730158735,28.69999999999999
119,27.93650793650795,28.80000000000001
120,28.571428571428555,28.5
121,28.888888888888914,27.600000000000023
122,29.84126984126982,27.69999999999999
123,29.206349206349216,28
124,28.888888888888914,28.399999999999977
125,28.888888888888914,28.100000000000023
126,28.571428571428555,28.19999999999999
127,28.412698412698433,28.600000000000023
128,28.412698412698433,28.5
129,28.253968253968253,28.5
130,28.253968253968253,28.69999999999999
131,28.412698412698433,28.5
132,28.095238095238074,28.600000000000023
133,27.93650793650795,28.399999999999977
134,28.095238095238074,28.5
135,27.93650793650795,28.5
136,28.095238095238074,28.5
137,28.253968253968253,28.5
138,28.571428571428555,28.399999999999977
139,28.571428571428555,28.69999999999999
140,28.888888888888914,29
141,28.888888888888914,29.399999999999977
142,28.730158730158735,29.69999999999999
143,28.571428571428555,30
144,29.047619047619037,30.30000000000001
145,29.047619047619037,30
146,29.365079365079396,30.30000000000001
147,29.682539682539698,30.30000000000001
148,29.682539682539698,30.399999999999977
149,29.682539682539698,30.5
150,29.84126984126982,30.30000000000001
151,29.84126984126982,30.19999999999999
152,30.15873015873018,30.19999999999999
153,30.15873015873018,30.5
154,30.47619047619048,30.5
155,30.793650793650784,30.69999999999999
156,31.269841269841265,31
157,31.111111111111086,31.100000000000023
158,31.904761904761926,31
159,32.06349206349205,31.5
160,32.69841269841271,30.899999999999977
161,31.746031746031747,30.899999999999977
162,31.111111111111086,30.899999999999977
163,31.428571428571445,30.80000000000001
164,30.15873015873018,31
165,30.317460317460302,30.80000000000001
166,30.317460317460302,30.80000000000001
167,29.52380952380952,30.30000000000001
168,29.682539682539698,30
169,30.47619047619048,29.899999999999977
170,30.793650793650784,30
171,30.952380952380963,30.100000000000023
172,31.269841269841265,30.19999999999999
173,30.793650793650784,30.100000000000023
174,30.15873015873018,30.399999999999977
175,30.793650793650784,30.80000000000001
176,30.317460317460302,30.600000000000023
177,30.317460317460302,30.30000000000001
178,30.15873015873018,29.899999999999977
179,30.15873015873018,30
180,30.793650793650784,30.100000000000023
181,30.47619047619048,30.19999999999999
182,30.47619047619048,30.30000000000001
183,30.15873015873018,30.19999999999999
184,29.682539682539698,30.100000000000023
