"Category","air temp","ground temp"
0,0,0
1,20,20
2,20,20
3,20,20
4,20,20
5,20,20
6,20,20
7,20,20
8,20,20
9,20,20
10,20,20
11,20,20
12,20,20
13,20,20
14,20,20
15,20,20
16,20,20
17,20,20
18,20,20
19,20,20
20,20,20
21,20.15873015873018,20
22,20.317460317460302,20
23,20.317460317460302,20
24,20.63492063492066,20
25,21.269841269841265,20
26,21.587301587301567,20
27,21.746031746031747,20
28,21.746031746031747,20
29,22.06349206349205,20
30,22.380952380952408,20
31,22.69841269841271,20
32,23.015873015873012,20
33,22.857142857142833,20
34,23.015873015873012,20
35,23.015873015873012,20
36,23.650793650793673,20
37,24.126984126984098,20
38,23.809523809523796,20
39,23.650793650793673,20.19999999999999
40,23.492063492063494,20.19999999999999
41,23.968253968253975,20.30000000000001
42,24.60317460317458,20.30000000000001
43,24.285714285714278,20.30000000000001
44,24.92063492063494,20.5
45,24.92063492063494,20.5
46,25.39682539682542,20.5
47,25.07936507936506,20.5
48,24.76190476190476,20.69999999999999
49,25.07936507936506,20.69999999999999
50,24.92063492063494,20.69999999999999
51,24.76190476190476,20.69999999999999
52,24.444444444444457,20.899999999999977
53,25.23809523809524,21
54,25.23809523809524,21.100000000000023
55,25.714285714285722,21.100000000000023
56,25.873015873015902,21.30000000000001
57,25.714285714285722,21.19999999999999
58,25.555555555555543,21.19999999999999
59,25.714285714285722,21.30000000000001
60,25.555555555555543,21.19999999999999
61,25.714285714285722,21.30000000000001
62,25.23809523809524,21.399999999999977
63,25.23809523809524,21.600000000000023
64,25.714285714285722,21.69999999999999
65,26.031746031746025,21.899999999999977
66,26.666666666666686,21.69999999999999
67,26.666666666666686,21.80000000000001
68,26.190476190476204,21.80000000000001
69,26.190476190476204,21.899999999999977
70,26.190476190476204,21.80000000000001
71,26.666666666666686,22
72,26.666666666666686,22.100000000000023
73,26.82539682539681,22.19999999999999
74,26.349206349206327,22.19999999999999
75,26.190476190476204,22.30000000000001
76,26.507936507936506,22.5
77,26.349206349206327,22.600000000000023
78,26.349206349206327,22.600000000000023
79,26.349206349206327,22.5
80,26.666666666666686,22.30000000000001
81,27.142857142857167,22.30000000000001
82,27.30158730158729,22.5
83,27.93650793650795,22.5
84,28.253968253968253,22.399999999999977
85,28.730158730158735,22.600000000000023
86,28.412698412698433,22.600000000000023
87,28.571428571428555,22.5
88,28.571428571428555,22.30000000000001
89,27.619047619047592,22.30000000000001
90,27.46031746031747,22.399999999999977
91,27.77777777777777,22.30000000000001
92,27.93650793650795,22.30000000000001
93,28.253968253968253,22.30000000000001
94,27.93650793650795,22.5
95,27.77777777777777,22.80000000000001
96,27.30158730158729,22.899999999999977
97,27.77777777777777,22.69999999999999
98,28.571428571428555,22.69999999999999
99,29.365079365079396,22.899999999999977
100,28.888888888888914,23.100000000000023
101,28.730158730158735,23.19999999999999
102,28.730158730158735,23
103,28.571428571428555,23
104,28.253968253968253,23.30000000000001
105,28.730158730158735,23.30000000000001
106,29.682539682539698,23.100000000000023
107,29.365079365079396,23.19999999999999
108,29.52380952380952,23.19999999999999
109,29.52380952380952,23.19999999999999
110,30.15873015873018,23.19999999999999
111,30.634920634920604,23.399999999999977
112,30.634920634920604,23.19999999999999
113,30.47619047619048,23.600000000000023
114,31.111111111111086,23.899999999999977
115,30.47619047619048,24.19999999999999
116,30.15873015873018,24
117,30.634920634920604,24.30000000000001
118,30.47619047619048,24.399999999999977
119,30.634920634920604,24.399999999999977
120,30.47619047619048,24.600000000000023
121,30.15873015873018,24.899999999999977
122,30.15873015873018,24.899999999999977
123,30.317460317460302,24.80000000000001
124,29.682539682539698,24.80000000000001
125,29.84126984126982,24.600000000000023
126,29.682539682539698,24.69999999999999
127,30,24.69999999999999
128,29.682539682539698,24.899999999999977
129,29.365079365079396,25.100000000000023
130,30.793650793650784,25
131,31.587301587301567,25
132,32.22222222222223,24.69999999999999
133,32.22222222222223,24.69999999999999
134,32.53968253968253,24.69999999999999
135,32.69841269841271,24.80000000000001
136,32.53968253968253,24.69999999999999
137,32.69841269841271,24.5
138,32.06349206349205,24.100000000000023
139,32.38095238095241,24.19999999999999
140,32.53968253968253,24.30000000000001
141,32.38095238095241,23.80000000000001
142,32.38095238095241,23.80000000000001
143,31.746031746031747,23.5
144,31.904761904761926,23.30000000000001
145,32.22222222222223,23.30000000000001
146,32.22222222222223,23.5
147,32.22222222222223,23.30000000000001
148,31.904761904761926,23.5
149,32.85714285714289,23.69999999999999
150,32.53968253968253,23.600000000000023
151,31.904761904761926,23.80000000000001
152,32.69841269841271,24
153,32.85714285714289,24
154,33.17460317460319,24
155,32.85714285714289,24
156,32.38095238095241,24.100000000000023
157,31.269841269841265,24.19999999999999
158,31.587301587301567,24.100000000000023
159,31.428571428571445,24
160,30.793650793650784,24.100000000000023
161,30,24
162,29.84126984126982,24.19999999999999
163,29.365079365079396,24.30000000000001
164,29.84126984126982,24.30000000000001
165,30.15873015873018,24.19999999999999
166,30.317460317460302,24.19999999999999
167,30.47619047619048,24.19999999999999
168,30.15873015873018,24.399999999999977
169,30.317460317460302,24.5
170,30.15873015873018,24.5
171,30,24.600000000000023
172,30.47619047619048,24.30000000000001
173,30,24.399999999999977
174,29.84126984126982,24.399999999999977
175,29.682539682539698,24.5
176,29.52380952380952,24.5
